category,mean_rating,number_of_podcasts,number_of_reviews
business,4.8991772712883295,3099,185965
spirituality,4.860415454364212,39,1689
education,4.84876239587358,1922,120577
religion,4.833692896335675,1485,86850
health,4.826575152512663,1544,105844
arts,4.775116050356486,2096,118576
music,4.772549601706222,656,31529
comedy,4.770928260138408,2539,280191
leisure,4.745916973793562,1059,62160
kids,4.734283232845814,516,41047
society,4.698922604155609,1902,177474
sports,4.674222381126664,1523,121080
fiction,4.663798838136766,272,22911
tv,4.642568792706639,1052,68836
technology,4.6368572779785335,162,10221
science,4.627584006586358,282,22213
history,4.56794333851419,386,43124
news,4.471654105680402,1033,127117
government,4.45794436049943,133,11020
true crime,4.286531977150156,249,68308
